event_name,session,timestamp,platform,game_name,provider,from_origin,on_origin,on_origin_name,jackpot,on_route,from_route,demo,page_location,page_referrer,fortuna_screen_name,status,added_from,sport_name,betslip_number,betslip_type,fixture_id,selection_id,PlayerID
screen_view,1788347706,2026-08-27T19:47:15.205Z,SB Android,null,null,specialist,null,null,null,home,calm,true,lantern://home,null,lobby,8686,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
casino_game_launch,1788347706,2026-08-27T19:47:44.083Z,SB Android,Regal Spins 10 Sun Link,Pateplay,specialist,search_results,Nastavi Igrati,true,game,calm,true,lantern://game,null,null,null,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:48:23.031Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:48:48.171Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:49:19.406Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:49:56.998Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=71,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:50:31.118Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=146,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:51:09.010Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:51:34.802Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:52:11.262Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=76,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:52:46.293Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=139,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:53:04.793Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=334,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:53:32.495Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:54:03.367Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:54:18.158Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:54:33.534Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:54:53.642Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:55:26.264Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:55:48.552Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:56:24.134Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=143,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:56:56.203Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=268,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:57:13.342Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:57:52.022Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:58:21.965Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:58:55.392Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:59:16.230Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=0,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
lantern_spin,1788347706,2026-08-27T19:59:46.718Z,SB Android,Regal Spins 10 Sun Link,null,specialist,null,null,null,game,calm,true,lantern://game,null,null,stake=67;payout=331,null,null,null,null,null,null,88ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d088ba32ecc362d2d0
